genesis 4:7	halo ’im teiTiw se’eit, we’im lo teiTiw, lapetaH HaTat roweiz; we’eilekha teshuqato, we’atah timshal bo. 
genesis 4:8	wayomer qayin ’el hewel ’aHiw; wayhi bihyotam basadeh, wayaqam qayin ’el hewel ’aHiw wayahargeihu. 
genesis 4:9	wayomer yhoh ’el qayin, ’ei hewel ’aHikha; wayomer lo yada‘ti, hashomeir ’aHi ’anokhi. 
genesis 4:10	wayomer meh ‘asita; qol demei ’aHikha, zo‘aqim ’eilay min ha’adamah. 
genesis 4:11	we‘atah ’arur ’atah; min ha’adamah ’asher pazetah ’et piha, laqaHat ’et demei ’aHikha miyadekha. 
genesis 4:12	ki ta‘awod ’et ha’adamah, lo toseif teit koHah lakh; na‘ wanad tihyeh wa’arez. 
genesis 4:13	wayomer qayin ’el yhoh; gadol ‘awoni mineso. 
genesis 4:14	hein geirashta ’oti hayom, mei‘al penei ha’adamah, umipanekha ’essateir; wehayiti na‘ wanad ba’arez, wehayah khal moze’i yahargeini. 
genesis 4:15	wayomer lo yhoh lakhein kal horeig qayin, shiw‘atayim yuqam; wayasem yhoh leqayin ’ot, lewilti hakot ’oto kal moze’o. 
genesis 4:16	wayeizei qayin milifnei yhoh; wayeishew be’erez nod qidmat ‘eiden. 
genesis 4:17	wayeida‘ qayin ’et ’ishto, watahar wateiled ’et Hanokh; wayhi boneh ‘ir, wayiqra sheim ha‘ir, kesheim beno Hanokh. 
genesis 4:18	wayiwwaleid laHanokh ’et ‘irad, we‘irad yalad ’et meHuya’eil; umeHiya’eil, yalad ’et metusha’eil, umetusha’eil yalad ’et lamekh. 
genesis 4:19	wayiqaH lo lemekh shetei nashim; sheim ha’aHat ‘adah, wesheim hasheinit zilah. 
genesis 4:20	wateiled ‘adah ’et yawal; hu hayah, ’awi yosheiw ’ohel umiqneh. 
genesis 4:21	wesheim ’aHiw yuwal; hu hayah, ’awi kal tofeis kinor we‘ugaw. 
genesis 4:22	wezilah gam hi yaledah ’et tuwal qayin, loTeish kal Horeish neHoshet uwarcel; wa’aHot tuwal qayin na‘amah. 
genesis 4:23	wayomer lemekh lenashaw, ‘adah wezilah shema‘an qoli, neshei lemekh, ha’ceinah ’imrati; ki ’ish haragti lefiz‘i, weyeled leHaburati. 
genesis 4:24	ki shiw‘atayim yuqam qayin; welemekh shiw‘im weshiw‘ah. 
genesis 4:25	wayeida‘ ’adam ‘od ’et ’ishto, wateiled bein, watiqra ’et shemo sheit; ki shat li ’elohim cera‘ ’aHeir, taHat hewel, ki harago qayin. 
genesis 4:26	ulesheit gam hu yulad bein, wayiqra ’et shemo ’enosh; ’ac huHal, liqro besheim yhoh.
genesis 5:1	ceh seifer, toldot ’adam; beyom, bero ’elohim ’adam, bidmut ’elohim ‘asah ’oto. 
genesis 5:2	cakhar uneqeiwah bera’am; waywarekh ’otam, wayiqra ’et shemam ’adam, beyom hibare’am.
